         17128 function calls (16968 primitive calls) in 88.684 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000  134.271   11.189 connection.py:246(recv)
       12    0.000    0.000  134.270   11.189 connection.py:310(_recv_bytes)
        1    0.000    0.000   88.684   88.684 run.py:89(main)
        1    0.000    0.000   88.383   88.383 pool.py:738(__exit__)
        1    0.000    0.000   88.372   88.372 pool.py:654(terminate)
        5    0.000    0.000   88.321   17.664 util.py:208(__call__)
        1    0.000    0.000   88.320   88.320 pool.py:680(_terminate_pool)
        1    0.000    0.000   88.308   88.308 pool.py:671(_help_stuff_finish)
        1    0.002    0.002   88.308   88.308 {method 'acquire' of '_multiprocessing.SemLock' objects}
      3/1    0.001    0.000   88.306   88.306 threading.py:1016(_bootstrap)
      3/1    0.000    0.000   88.306   88.306 threading.py:1056(_bootstrap_inner)
      3/1    0.000    0.000   88.305   88.305 threading.py:999(run)
        1    0.000    0.000   88.305   88.305 pool.py:573(_handle_results)
    83/17   88.288    1.064   88.304    5.194 {built-in method _winapi.WaitForMultipleObjects}
        1    0.000    0.000   88.303   88.303 pool.py:527(_handle_tasks)
        1    0.000    0.000   88.302   88.302 pool.py:506(_handle_workers)
       30    0.000    0.000   63.451    2.115 pool.py:500(_wait_for_updates)
       61    0.000    0.000   42.326    0.694 connection.py:1009(_exhaustive_wait)
       30    0.000    0.000   41.616    1.387 queues.py:374(empty)
       10    0.000    0.000   24.519    2.452 connection.py:348(_get_more_data)
       61    0.002    0.000    0.719    0.012 connection.py:1031(wait)
        1    0.000    0.000    0.330    0.330 pool.py:362(map)
        1    0.000    0.000    0.281    0.281 main.py:8(__init__)
        1    0.000    0.000    0.281    0.281 text_cleaner.py:6(__init__)
        1    0.000    0.000    0.281    0.281 __base.py:37(__init__)
        1    0.000    0.000    0.280    0.280 __base.py:142(_check_java_version)
        1    0.000    0.000    0.278    0.278 subprocess.py:417(check_output)
        1    0.000    0.000    0.278    0.278 subprocess.py:506(run)
        1    0.000    0.000    0.267    0.267 subprocess.py:1165(communicate)
        3    0.265    0.088    0.265    0.088 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.044    0.044 pool.py:305(_repopulate_pool)
        1    0.000    0.000    0.044    0.044 pool.py:314(_repopulate_pool_static)
        4    0.000    0.000    0.044    0.011 process.py:110(start)
        4    0.000    0.000    0.043    0.011 context.py:334(_Popen)
        5    0.041    0.008    0.041    0.008 {built-in method _winapi.CreateProcess}
        4    0.000    0.000    0.039    0.010 popen_spawn_win32.py:45(__init__)
      9/4    0.000    0.000    0.021    0.005 <frozen importlib._bootstrap>:1349(_find_and_load)
      9/4    0.000    0.000    0.021    0.005 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      9/4    0.000    0.000    0.019    0.005 <frozen importlib._bootstrap>:911(_load_unlocked)
